,Word,Definition
0,Body Image,"The perception and attitudes individuals have about their own physical appearance, including aspects like weight and shape."
1,Weight,"The measure of the mass of a person's body, often expressed in terms of kilograms or pounds."
2,Overweight,"A condition in which a person's weight exceeds a healthy range for their height, often associated with various health considerations."
3,Appearance,The outward visual characteristics and physical presentation of an individual's body.
4,Self-Esteem,"An individual's overall sense of self-worth and self-value, often influenced by body image and societal standards."
5,Health,"The state of physical, mental, and social well-being, including factors like diet, exercise, and overall lifestyle."
6,Body Positivity,"A movement and attitude that encourages people to accept and embrace their bodies, regardless of size or shape."
7,Dietary Habits,Patterns of food consumption and nutritional choices that can impact weight and health.
8,Exercise,Physical activity and fitness routines that contribute to overall health and can influence body weight.
9,Beauty Standards,Societal or cultural ideals of physical attractiveness that can influence how individuals perceive themselves and others.
10,Weight Management,"Strategies and practices for maintaining a healthy body weight, often involving diet and exercise."
11,Self-Acceptance,"Embracing and valuing oneself, including one's physical appearance, without judgment or criticism."
12,Wellness,"A holistic approach to health that encompasses physical, mental, and emotional well-being."
13,Confidence,"A positive belief in one's abilities and self-worth, which can be influenced by body image and self-perception."
