,Word,Definition
0,Sex,"The biological and physiological characteristics, such as reproductive organs and chromosomes, that typically classify individuals as male or female."
1,Identity,"A person's deeply held sense of their own gender, which may or may not align with their assigned sex at birth."
2,Binary,"The traditional classification of gender into two categories, male and female, which may not encompass the full range of gender identities."
3,Non-binary,"A gender identity that does not fit within the traditional male-female binary, often encompassing a spectrum of identities."
4,Transgender,A person whose gender identity differs from the sex assigned to them at birth.
5,Cisgender,A person whose gender identity aligns with the sex assigned to them at birth.
6,Gender Expression,"The way individuals present their gender identity to others through clothing, behavior, and appearance."
7,Gender Roles,"Societal expectations and norms regarding how individuals of different genders should behave, often influencing social roles and behaviors."
8,Intersectionality,"The recognition that a person's experience of gender is influenced by other aspects of their identity, such as race, ethnicity, sexuality, and class."
9,Gender Identity Development,The process through which individuals come to understand and express their own gender identity.
10,Sexual Orientation,"A person's enduring pattern of romantic, emotional, and/or sexual attractions, which can be related to, but distinct from, gender identity."
11,Gender-affirming Care,"Medical, psychological, and social support provided to individuals to help them align their physical appearance and/or social role with their gender identity."
