,Word,Definition
0,Sexual Orientation,"The overarching concept that encompasses a person's emotional, romantic, and sexual attractions, including but not limited to homosexuality."
1,Gay,"A commonly used term to describe individuals who are attracted to people of the same sex, typically used for men."
2,Lesbian,"Specifically refers to homosexual women, who are attracted to other women."
3,Bisexuality,A sexual orientation in which an individual is attracted to people of both their own sex and the opposite sex.
4,Pansexuality,A sexual orientation in which an individual can be attracted to people regardless of their gender or gender identity.
5,Coming Out,"The process by which individuals disclose their sexual orientation to others, often involving self-acceptance and the sharing of this information with friends, family, or the public."
6,Heterosexuality,The sexual orientation in which an individual is attracted to people of the opposite sex.
7,Sexual Identity,"A person's internal understanding and recognition of their own sexual orientation, which may or may not align with societal norms."
8,LGBTQ+,"An inclusive acronym that stands for Lesbian, Gay, Bisexual, Transgender, Queer, and other identities, representing the diverse spectrum of sexual orientations and gender identities."
9,Sexual Minority,A term used to describe individuals who identify with non-heterosexual sexual orientations.
