,Word,Definition
0,Partnership,"A key element of marriage, signifying a committed and cooperative relationship between two individuals."
1,Commitment,The dedication and obligation to maintain and nurture a marriage over time.
2,Union,"The state of being joined together in marriage, often signifying a coming together of two lives."
3,Ceremony,"The formal event or ritual that typically marks the beginning of a marriage, which may vary in customs and traditions."
4,Spouse,"A partner in a marriage, either the husband or the wife."
5,Matrimony,"Another term for marriage, often used in a more formal or religious context."
6,Family,"The social unit formed through marriage, including spouses and their potential children."
7,Monogamy,A form of marriage in which one person is married to only one spouse at a time.
8,Polygamy,"A form of marriage in which one person can have multiple spouses simultaneously, such as polygyny (one man with multiple wives) or polyandry (one woman with multiple husbands)."
9,Divorce,"The legal dissolution of a marriage, ending the marital union."
10,Annulment,"A legal declaration that a marriage is null and void, as if it never existed."
11,Marriage License,"A legal document required to be married, issued by the government or relevant authorities."
12,Vows,"Promises or commitments made by individuals during a marriage ceremony, often outlining their intentions and responsibilities."
13,Marriage Equality,"The principle and movement advocating for equal legal recognition and rights for all marriages, regardless of the gender of the partners."
