,Word,Definition
0,Currency,"The physical or digital form in which money is typically exchanged, such as coins and banknotes."
1,Transaction,"The act of buying, selling, or exchanging goods and services using money."
2,Value,"The worth or purchasing power of money, which can vary based on supply and demand."
3,Economy,"The system of production, distribution, and consumption of goods and services within a society, often influenced by money."
4,Banking,"The industry and institutions responsible for managing and safeguarding money, providing services like loans, savings accounts, and investments."
5,Inflation,"The increase in the general price level of goods and services over time, reducing the purchasing power of money."
6,Investment,The allocation of money with the expectation of generating a return or profit in the future.
7,Budget,A plan that outlines the allocation of money for various expenses and savings over a specific period.
8,Savings,"Money set aside for future use or emergencies, typically kept in a bank or other financial institution."
9,Debt,"Money borrowed from others, often with an agreement to repay it with interest."
