,Word,Definition
0,Community,"A group of people living in the same area or sharing common interests, often forming the building blocks of a society."
1,Culture,"The shared beliefs, values, customs, and traditions that define the way of life within a society."
2,Social Norms,"The accepted and expected behaviors, actions, and attitudes within a society."
3,Institution,"Organizations or systems that fulfill specific social functions, such as government, education, and healthcare."
4,Citizenship,"The legal and social status of being a member of a particular society or nation, with associated rights and responsibilities."
5,Government,"The system of rules, authorities, and institutions that govern and regulate a society."
6,Economy,"The structure and processes by which resources are produced, distributed, and consumed within a society."
7,Family,"The basic social unit consisting of parents and their children, often considered a fundamental building block of society."
8,Justice,"The concept of fairness, equity, and the enforcement of laws within a society."
9,Democracy,"A form of government in which power is vested in the hands of the people, who participate in decision-making processes."
10,Education,"The system and process of acquiring knowledge and skills, often provided by educational institutions within a society."
11,Equality,"The principle of treating all individuals in a society with fairness and impartiality, regardless of differences."
12,Diversity,The presence of a variety of different social and cultural groups within a society.
13,Social Contract,The implicit or explicit agreement among members of a society to cooperate and abide by certain rules for the common good.
14,Communication,"The exchange of information, ideas, and opinions among members of a society, often facilitated by language and technology."
