,f1s,accuracy,p_word_list,n_word_list
0,0.30548800446422103,0.3739644970414201,"['megagametophyte', 'woolly_thistle scotch_thistle onopordum_acanthium onopordon_acanthium cotton_thistle', 'grubstake', 'sit#', 'correspondence_school', 'cricket_match', 'baseball_season', 'nasopharyngeal', 'harness', 'alundum']","['thunnus genus_thunnus', 'rajidae family_rajidae', 'brush_fire', 'genus_aethionema aethionema', 'plane_table', 'succus juice', 'simplex', 'disqualify', 'go_board', 'sunnah sunna hadith']"
1,0.24516714157585376,0.30650887573964497,"['lithonate lithium_carbonate lithane eskalith', 'saturnia_pavonia emperor_moth emperor', 'venial minor', 'weeping pendulous nodding drooping cernuous', 'gastrulation', 'submersion immersion ducking dousing', 'olympian', 'wrong-site_surgery', 'conservator-ward_relation', 'genus_bromus bromus']","['theme_park', 'chemist', 'overnighter', 'south_american_poison_toad', 'generalize generalise', 'old_testament', 'hairy_tongue furry_tongue black_tongue', 'stock_warrant', 'tragulidae family_tragulidae', 'velvet_ant']"
2,0.6189981364126684,0.6260355029585799,"['squatina genus_squatina', 'keynote', 'recorded', 'tip tilt slant lean angle', 'rut', 'petroleum_geologist oil_geologist', 'juneau capital_of_alaska', 'nguyen_tat_thanh ho_chi_minh', 'recognition realization realisation', 'supervisor']","['aquavit akvavit', 'bituminous', 'dairyman', 'pirouette', 'sudanese', 'phrenologist craniologist', 'masa', 'forefoot', 'caucus', 'betaine']"
3,0.7515885569826987,0.7696252465483234,"['jupiter_optimus_maximus best_and_greatest', 'double_cross double-crossing', 'mccormick cyrus_mccormick cyrus_hall_mccormick', 'sandwich_board', 'noncombinative', 'business_traveler', 'pinus genus_pinus', 'pilus', 'extrovert extravert', 'psidium_guineense brazilian_guava']","['radicalism', 'tilting_board teetertotter teeterboard teeter-totter teeter seesaw dandle_board', 'war-worn war-torn', 'allegorize allegorise', 'writ_of_election', 'oven_broil broil', 'slop_bowl slop_basin', 'rank_and_file rank', 'agama', 'sacral_vertebra']"
4,0.7675524475857113,0.7735700197238659,"['retrobulbar_neuritis', 'pliant plastic', 'oasis haven', 'episcopate', 'german_capital berlin', 'parisian', 'enabling_legislation', 'charon', 'basque', 'air_conditioning air_conditioner']","['solution root', 'ramp', 'finance', 'stricken laid_low', 'neon ne atomic_number_10', 'wellhead', 'catbird bowerbird', 'congregationalist', 'ferber edna_ferber', 'cereal']"
5,0.2754928779701483,0.34714003944773175,"['organismic organismal', 'antistrophic', 'mon-khmer', 'genus_chimaphila chimaphila', 'delegate', 'lop-eared', 'niobite columbite', 'reversion retroversion retrogression regression regress', 'coup_de_theatre', 'break#']","['dog_tag', 'house_organ', 'sarsaparilla', 'mesophytic_plant mesophyte', 'elastic', 'sir_john_herschel sir_john_frederick_william_herschel john_herschel herschel', 'fate destiny', 'uterine_vein', 'autoicous', 'hospice']"
6,0.2532050280569619,0.2611439842209073,"['individualist', 'instantiate', 'buhl boulle boule', 'optician lens_maker', 'pocket_borough', 'discovered_check', 'solanum_jasmoides potato_vine', 'genus_ascophyllum ascophyllum', 'readying preparation', 'enemy']","['raft_foundation', 'sulky', 'torch', 'northwestern northwesterly northwest', 'table-tennis_racquet table-tennis_bat pingpong_paddle', 'script playscript book', 'flow', 'rock_of_gibraltar gibraltar calpe', 'creek_confederacy', 'usher show#']"
7,0.3754782070644513,0.4319526627218935,"['production_line line# assembly_line', 'shipping merchant_vessels merchant_marine cargo_ships', 'pound', 'element_107 bohrium bh atomic_number_107', 'yoke', 'three-d 3d 3-d', 'rent let lease', 'bran', 'ferdinand_iii', 'mace']","['silver_sagebrush silver_sage seriphidium_canum grey_sage gray_sage artemisia_cana', 'urogenital', 'wallflower', 'obedience_plant maranta_arundinaceae arrowroot american_arrowroot', 'little', 'baseball_card', 'sconce', 'seventh_avenue', 'stay_in_place', 'contextual']"
8,0.5008953892833666,0.5763313609467455,"['sir_alan_hodgkin hodgkin alan_lloyd_hodgkin alan_hodgkin', 'gymkhana', 'buchenwald', 'conjugate_solution conjugate', 'ferret_out ferret', 'doff', 'nuclear_energy atomic_energy', 'compound_sentence', 'smith joseph_smith', 'hand_to_mouth']","['outpoint', 'thomas seth_thomas', 'duck', 'cerebral', 'dead_load', 'jumper', 'a_cappella', 'transitive', 'fledge', 'lycaena_hypophlaeas american_copper']"
9,0.5466190597459983,0.6544378698224852,"['bib', 'motor_neuron motor_nerve_fiber motoneuron efferent_neuron', 'billion', 'survey', 'mothball', 'sarcoptes genus_sarcoptes', 'old-field_toadflax linaria_canadensis blue_toadflax', 'mercury_chloride mercuric_chloride corrosive_sublimate bichloride_of_mercury', 'ox-eyed', 'ellis_island']","['viscum_album old_world_mistletoe mistletoe', 'quantization quantisation', 'viewing_audience viewers tv_audience', 'northern_marianas northern_mariana_islands', 'chastisement castigation', 'action_mechanism action', 'roman_mile mile', 'czech', 'sandal', 'slip']"
