,f1s,accuracy,p_word_list,n_word_list
0,0.3386788812945307,0.44820000000000004,"['megagametophyte', 'woolly_thistle scotch_thistle onopordum_acanthium onopordon_acanthium cotton_thistle', 'grubstake', 'sit#', 'correspondence_school', 'cricket_match', 'baseball_season', 'nasopharyngeal', 'harness', 'alundum']","['thunnus genus_thunnus', 'rajidae family_rajidae', 'brush_fire', 'genus_aethionema aethionema', 'plane_table', 'succus juice', 'simplex', 'disqualify', 'go_board', 'sunnah sunna hadith']"
1,0.09317983453399199,0.097,"['lithonate lithium_carbonate lithane eskalith', 'saturnia_pavonia emperor_moth emperor', 'venial minor', 'weeping pendulous nodding drooping cernuous', 'gastrulation', 'submersion immersion ducking dousing', 'olympian', 'wrong-site_surgery', 'conservator-ward_relation', 'genus_bromus bromus']","['theme_park', 'chemist', 'overnighter', 'south_american_poison_toad', 'generalize generalise', 'old_testament', 'hairy_tongue furry_tongue black_tongue', 'stock_warrant', 'tragulidae family_tragulidae', 'velvet_ant']"
2,0.4316544627883415,0.5418000000000001,"['squatina genus_squatina', 'keynote', 'recorded', 'tip tilt slant lean angle', 'rut', 'petroleum_geologist oil_geologist', 'juneau capital_of_alaska', 'nguyen_tat_thanh ho_chi_minh', 'recognition realization realisation', 'supervisor']","['aquavit akvavit', 'bituminous', 'dairyman', 'pirouette', 'sudanese', 'phrenologist craniologist', 'masa', 'forefoot', 'caucus', 'betaine']"
3,0.11251217893623947,0.1164,"['jupiter_optimus_maximus best_and_greatest', 'double_cross double-crossing', 'mccormick cyrus_mccormick cyrus_hall_mccormick', 'sandwich_board', 'noncombinative', 'business_traveler', 'pinus genus_pinus', 'pilus', 'extrovert extravert', 'psidium_guineense brazilian_guava']","['radicalism', 'tilting_board teetertotter teeterboard teeter-totter teeter seesaw dandle_board', 'war-worn war-torn', 'allegorize allegorise', 'writ_of_election', 'oven_broil broil', 'slop_bowl slop_basin', 'rank_and_file rank', 'agama', 'sacral_vertebra']"
4,0.09720974807832901,0.1004,"['retrobulbar_neuritis', 'pliant plastic', 'oasis haven', 'episcopate', 'german_capital berlin', 'parisian', 'enabling_legislation', 'charon', 'basque', 'air_conditioning air_conditioner']","['solution root', 'ramp', 'finance', 'stricken laid_low', 'neon ne atomic_number_10', 'wellhead', 'catbird bowerbird', 'congregationalist', 'ferber edna_ferber', 'cereal']"
5,0.5850850870399771,0.6364000000000001,"['organismic organismal', 'antistrophic', 'mon-khmer', 'genus_chimaphila chimaphila', 'delegate', 'lop-eared', 'niobite columbite', 'reversion retroversion retrogression regression regress', 'coup_de_theatre', 'break#']","['dog_tag', 'house_organ', 'sarsaparilla', 'mesophytic_plant mesophyte', 'elastic', 'sir_john_herschel sir_john_frederick_william_herschel john_herschel herschel', 'fate destiny', 'uterine_vein', 'autoicous', 'hospice']"
6,0.8524018139787745,0.8576,"['individualist', 'instantiate', 'buhl boulle boule', 'optician lens_maker', 'pocket_borough', 'discovered_check', 'solanum_jasmoides potato_vine', 'genus_ascophyllum ascophyllum', 'readying preparation', 'enemy']","['raft_foundation', 'sulky', 'torch', 'northwestern northwesterly northwest', 'table-tennis_racquet table-tennis_bat pingpong_paddle', 'script playscript book', 'flow', 'rock_of_gibraltar gibraltar calpe', 'creek_confederacy', 'usher show#']"
7,0.8214191431971851,0.8286,"['production_line line# assembly_line', 'shipping merchant_vessels merchant_marine cargo_ships', 'pound', 'element_107 bohrium bh atomic_number_107', 'yoke', 'three-d 3d 3-d', 'rent let lease', 'bran', 'ferdinand_iii', 'mace']","['silver_sagebrush silver_sage seriphidium_canum grey_sage gray_sage artemisia_cana', 'urogenital', 'wallflower', 'obedience_plant maranta_arundinaceae arrowroot american_arrowroot', 'little', 'baseball_card', 'sconce', 'seventh_avenue', 'stay_in_place', 'contextual']"
8,0.5906244534661304,0.6048,"['sir_alan_hodgkin hodgkin alan_lloyd_hodgkin alan_hodgkin', 'gymkhana', 'buchenwald', 'conjugate_solution conjugate', 'ferret_out ferret', 'doff', 'nuclear_energy atomic_energy', 'compound_sentence', 'smith joseph_smith', 'hand_to_mouth']","['outpoint', 'thomas seth_thomas', 'duck', 'cerebral', 'dead_load', 'jumper', 'a_cappella', 'transitive', 'fledge', 'lycaena_hypophlaeas american_copper']"
9,0.2915889348548679,0.3468,"['bib', 'motor_neuron motor_nerve_fiber motoneuron efferent_neuron', 'billion', 'survey', 'mothball', 'sarcoptes genus_sarcoptes', 'old-field_toadflax linaria_canadensis blue_toadflax', 'mercury_chloride mercuric_chloride corrosive_sublimate bichloride_of_mercury', 'ox-eyed', 'ellis_island']","['viscum_album old_world_mistletoe mistletoe', 'quantization quantisation', 'viewing_audience viewers tv_audience', 'northern_marianas northern_mariana_islands', 'chastisement castigation', 'action_mechanism action', 'roman_mile mile', 'czech', 'sandal', 'slip']"
10,0.17276798211189334,0.1806,"['sheikha sheika', 'prostrate flat', 'tongan', 'nourishment', 'computerized_axial_tomography_scanner cat_scanner', 'sea_raven hemitripterus_americanus', 'take_in_water bilge', 'chest breast', 'retrovision', 'spanish_people spanish']","['tough-skinned', 'dove', 'pawnee', 'scab', 'wild_parsnip madnep', 'school_year academic_year', 'sodium-vapour_lamp sodium-vapor_lamp', 'enfranchisement certification', 'close_set close-set', 'edible_corn corn']"
11,0.8842713929739254,0.8882,"['pas_de_trois', 'theorize', 'fulminate', 'suborder_lipotyphla lipotyphla', 'posology', 'recombination', 'platte_river platte', 'brake_disk', 'brickyard brickfield', 'trial_period test_period']","['eremite', 'take_in', 'compass', 'transplant transfer', 'three-dimensional cubic', 'monday mon', 'soliloquize soliloquise monologuize monologuise', 'winter_flounder lemon_sole', 'descent', 'bisectional']"
12,0.7716172022334574,0.7782,"['skipper captain', 'tuareg', 'deploy', 'wavy-leaved_aster', ""white_dogtooth_violet white_dog's-tooth_violet erythronium_albidum blonde_lilian"", 'focal_infection', 'demotic_script demotic', 'magnus_hitch', 'bath_mat', 'use']","['habit', 'calcium_hypochlorite', 'providence capital_of_rhode_island', 'phonogramic', 'going_under foundering', 'instill instil', 'bit', 'baltic-finnic', 'bank_of_japan', 'silver flatware']"
13,0.3943357789158581,0.47940000000000005,"['proudhon pierre_joseph_proudhon', 'lisle_thread lisle', 'nation_of_islam', 'codling_moth codlin_moth carpocapsa_pomonella', 'silhouette', 'molar grinder', 'unofficially on_the_side', 'postmortem post-mortem', 'minute_gun', 'take_root steady_down settle_down settle root']","['tarnish', 'position', 'soft#', 'mix merge meld immix fuse flux conflate commingle combine coalesce blend', 'lancastrian', 'slide', 'set_to_music', 'eight_ball', 'patrilineally', 'fatah al-fatah al-asifa']"
14,0.22413030659454203,0.2518,"['swiss', 'lovesick', 'take# exact claim', 'passive', 'menopausal', 'yellow_pine', 'eighteenth_amendment', 'uvularia_grandiflora strawflower cornflower', 'variant variance discrepancy', 'abilene']","['mitral', 'ventilate', 'brass', ""farmer's_calendar almanac"", 'viola_arvensis heartsease field_pansy', 'letters_of_marque letter_of_marque letter_of_mark_and_reprisal', 'pickett george_edward_pickett', 'track data_track', 'hypoxia', 'ropy ropey']"
15,0.7833333552811829,0.7922,"['solidus byzant bezzant bezant', 'carry#', 'genus_embothrium embothrium', 'outside# away', 'karok', 'letter', 'genus_cortinarius cortinarius', 'island', 'pelvis pelvic_girdle pelvic_arch hip', 'child_support']","['water_trumpet cryptocoryne', 'jacobite', 'subtraction minus', 'welfare_worker social_worker caseworker', 'oviedo', 'abu_hafs_al-masri_brigades', 'centre_bit center_bit', 'p-n_junction', 'stride step pace footstep', 'gunman gun']"
16,0.8807551063212445,0.8846,"['genus_gesneria', 'out_of_play', 'lipoidemia lipoidaemia lipidemia lipidaemia lipemia lipaemia hyperlipoidemia hyperlipoidaemia hyperlipidemia hyperlipidaemia hyperlipemia hyperlipaemia', 'toni_morrison morrison chloe_anthony_wofford', 'rent lease hire charter', 'pineus genus_pineus', 'xxiv two_dozen twenty-four 24', 'mirounga genus_mirounga', 'house_arrest', 'file_away file']","['eohippus dawn_horse', 'dromedary camelus_dromedarius arabian_camel', 'rhinonicteris genus_rhinonicteris', 'bleach', 'subdivider', 'reclassify', 'myrtus_communis common_myrtle', 'sir_gawain gawain', 'rib', 'check']"
17,0.3359070286664492,0.42860000000000004,"['folk_dancer', 'orange', 'principalship', 'xanthosoma genus_xanthosoma', 'psetta genus_psetta', 'bluish-purple blue-purple', 'oenomel', 'empty', 'ossiculum ossicle bonelet', 'larus_marinus great_black-backed_gull cob black-backed_gull']","['side', 'housebroken house-trained', 'criticality', 'horsebean fava_bean broad_bean', 'oaten', 'fugal', 'nemophila', 'passing passage', 'lome capital_of_togo', 'anechoic_chamber']"
18,0.35615276063834245,0.4398,"['true_vocal_fold true_vocal_cord inferior_vocal_fold inferior_vocal_cord', 'primipara para_i', 'temporarily', 'covering_letter cover_letter', 'motorcar machine car automobile auto', 'pomacentrus_leucostictus beaugregory', 'genus_dictyophera dictyophera', 'venous', 'unashamed', 'soapwort saponaria_officinalis hedge_pink bouncing_bet bouncing_bess']","['call_centre call_center', 'saturn', 'epilogue epilog', 'cement', 'swish', 'overlook look_out_over look_out_on look_across', 'penumbra', 'feel#', 'dearly-won costly', 'weapons_carrier']"
19,0.19704086306715848,0.20720000000000002,"['woodborer borer', 'vaunt tout swash shoot_a_line gasconade gas brag boast bluster blow#', 'substantial real material', 'radiation_syndrome radiation_sickness radiation', 'yellow_mariposa_tulip calochortus_luteus', 'pyrolatry fire-worship', 'challenge', 'ragged_robin lychnis_flos-cuculi lychins_floscuculi cuckoo_flower', 'electrostatic_printer', 'tenderloin combat_zone']","['think_up think_of hatch dream_up concoct', 'ashur ashir', 'dutiable', 'down_quark', 'ingredient fixings', 'troll round#', 'mrs._gandhi indira_nehru_gandhi indira_gandhi gandhi', 'union trades_union trade_union labor_union brotherhood', 'plane airplane aeroplane', 'rhus_aromatica lemon_sumac fragrant_sumac']"
20,0.8902812297467926,0.894,"['fixer-upper', 'spitting spit expectoration', 'tongue_depressor', 'president_buchanan james_buchanan buchanan', 'vena_sternocleidomastoidea sternocleidomastoid_vein', 'infant baby babe', 'provost_court', 'king_camp_gilette gillette', 'stalagmite', 'circulatory circulative']","['holocaust final_solution', 'institution', 'pigeon_loft loft', 'field-emission_microscope', 'hl hectolitre hectoliter', 'supporting support', 'societal social', 'splinter sliver', 'active_trust', 'salvelinus_namaycush salmon_trout lake_trout']"
